"Sindicato","Convenção","Título da Cláusula","Resumo","Cláusula Completa"
"SINDICATO DOS MÉDICOS DO ESTADO DA BAHTA - SINDIMED","2025-2026","CLÁUSULA DÉCIMA PRIMEIRA - ASSISTÊNCIA HOSPITALAR","As entidades empregadoras garantirão aos empregados e dependentes legais, dentro dos serviços médicos e hospitalares que efetivamente dispuserem, no â...","As entidades empregadoras garantirão aos empregados e dependentes legais, dentro dos serviços médicos e hospitalares que efetivamente dispuserem, no âmbito do seu próprio estabelecimento, assistência médico-hospitalar, sem ônus para os beneficiários e sem obrigação de ampliação dos respectivos serviços para tal Íim. PARÁGRAFO ÚNICO - ns entidades empregadoras que implantarem seguro ou plano de saúde, ficam desobrigadas de prestar assistência médico-hospitalar em suas unidades. É permitido aos empregadores o desconto em folha de pagamento, referente ao custeio do seguro ou plano de saúde, desde que seja autorizado pelo empregado beneÍiciário."
"SINDICATO DOS MÉDICOS DO ESTADO DA BAHTA - SINDIMED","2025-2026","CLÁUSULA DÉCIMA SEGUNDA - LIBERAÇÃO DE DIRIGENTE SINDICAL","Fica assegurada ao empregado eleito ou em exercício no cargo de diretor integrante da de qualquer uma das empresas representadas pelo SINDIFIBA, a liberação do trabalho sem prejuÍzo de sua remuneração mensal, excluÍdo, contudo, o fornecimento de vales transportes.","Fica assegurada ao empregado eleito ou em exercício no cargo de diretor integrante da de qualquer uma das empresas representadas pelo SINDIFIBA, a liberação do trabalho sem prejuÍzo de sua remuneração mensal, excluÍdo, contudo, o fornecimento de vales transportes. cúUsUIÁ oÉoMA TERCEIRA - ESTABIT.DADE TOS AFOSENTAVEIS E PRÉ APOSENTADORIÀ Gozarão de garantia de emprego ou salário, assegurada a respectiva indenização caso não seja reintegrado, por situação de Pre-Aposentadoriá, nas seguintes condi@es: PARÁGRAFO PRIMEIRO - Pré-Aposentadoria: para o empregado, por 24 (vinte e quatro) meses imediatamente anteriores à aquisição ao direito ao benefício de aposentadoria da previdência Social, respeitados os critérios estabelecidos pela legislação vigente, e que All {/,/) tiverem o mínimo de 10 (dez) anos de vínculo empregatício ininterrupto com a mesma entidadê empregadorâ, extinguindo-se automaticamente a presente garantia quando o empregâdo passar a fazer jus à aposentadoria; PARÁGRAFO SEGUNDO - Quanto aos Empregados na proximidade de aposentadona, compreendidos no caput acima, de que trata esta cláusula, devem ser observadas as seguintes condiçôes: a) As entidades empregadoras devem divulgar anualmente a seus empregados a necessidade de apresentar ao empregador comprovante que lhe dá o direito a estabilidade prevista nesta cláusula: b) A garantia somente será adquirida e passará a integrar o patrimônio jurÍdico do Empregado, a partir do recebimento, pela entidade empregadora, de comunicação escrita do Empregado, devidamente protocoladâ, sem eÍeito retroativo, de que reúne integralmente as condições previstas em qualquer das hipóteses determinadas pela Emenda Constitucional í03/2019, acompanhada dos documentos comprobatórios e desde que apresentada antes de qualquer comunicado de seu desligamento; c) Na vigência do contrato individual de trabalho, esta cláusula não se aplica aos Empregados que já tenham adquirido o direito ao benefício da aposentadoria, nos seus prazos mínimos e nos termos da lei previdenciária em vigor, inclusive suas alterações e ainda que não o tenham requerido junto ao INSS."
"SINDICATO DOS MÉDICOS DO ESTADO DA BAHTA - SINDIMED","2025-2026","CLÁUSULA DÉCIMA QUARTA - ADICIONAL DE SOBREAVISO","Fica autorizada a escala de sobreaviso, sendo assegurado o respectivo pagamento do adicional a todo empregado que fique escalado de sobreaviso, nos períodos fora de sua jornada normal de trabalho, sendo assegurado o pagamento do adicional dê sobreaviso.","Fica autorizada a escala de sobreaviso, sendo assegurado o respectivo pagamento do adicional a todo empregado que fique escalado de sobreaviso, nos períodos fora de sua jornada normal de trabalho, sendo assegurado o pagamento do adicional dê sobreaviso. PARÁGRAFO PRIMEIRO - Será considerado sob regime de sobreaviso o empregado que estiver à disposiÇão da empresa contratante, independentemente do local, aguardando convocação para o atendimento de situação de emergência. l) Nestes casos, é imprescindível, para a caracleização do regime de sobrêaviso, que o empregado tenha recebido comunicação prévia, ou através da escala de serviço estabelecendo o sobreaviso, inÍormando.o da escalação. ll) A convocação de empregado, escalado em regime de sobreaviso, para o comparecimento ao trabalho poderá ser realizada por intermédio de ligagão telefônica ou por outros meios eletrônicos, como bip, WhatsApp ou similares. Itl) O mero porte por parte do empregado de celulares, bip, WhatsApp ou similares, sem o cumprimento do disposto no inciso I desta cláusula náo caraclerizará a escâlação em regime de sobreaviso lV) Sem o cumprimento do disposto no inciso I desta cláusula, fica o empregado desobrigado de atender a qualquer chamado. PARÁGRAFo SEGUNDo - Ao empregado que estiver de sobreaviso será devido o pagamento pelo tempo em que permanecer trabalhando, a partir do momento em que comparecer ao trabalho, em atendimento à convocação realizada pela Empresa, deixando de fazerjus durante o período de trabalho ao adicional prêvisto no caput desta cláusula. PARÁGRAFo TERCEIRo - o empregado em regime de sobreaviso que, tendo sido convocado para trabalhar, náo responder ao chamado no prazo de 30 (trinta) minutos, pessoalmente ou por teleÍone, a contar da convocação deixará de receber o adicional de sobreaviso que vinha cumprindo."
"SINDICATO DOS MÉDICOS DO ESTADO DA BAHTA - SINDIMED","2025-2026","CLÁUSULA DÉCIMA QUINTA - ALIMENTAÇÃO","As entidades empregadoras que possuem refeitório fornêcerão aos seus empregados, que laboram em regime de plantão de 12, 24 hoÍas e jornada proporclonal enlre 12 e 24h, alimentação gratuita, desde que se.ja do interesse patronal o cumprimento desta jornada por parte do obreiro.","As entidades empregadoras que possuem refeitório fornêcerão aos seus empregados, que laboram em regime de plantão de 12, 24 hoÍas e jornada proporclonal enlre 12 e 24h, alimentação gratuita, desde que se.ja do interesse patronal o cumprimento desta jornada por parte do obreiro. PARÁGRAFO PRIMEIRO - Quando esta.jornada for cumprida por interesse do empregado, que deverá manifestar por escrito a sua opção, as entidades empregadoras fornecerão alimentação com o desconto autorizado pelo PAT/MTE. PARÁGRAFO SEGUNDO - Fica pactuado que a alimentação e concedida para a execução do trabalho, não se integrando tal vantagem ao salário, para qualquer efeito de lei."
"SINDICATO DOS MÉDICOS DO ESTADO DA BAHTA - SINDIMED","2025-2026","CLÁUSULA DÉCIMA QUINTA - ADICIONAL DE INSALUBRIDADE","O adicional de insalubridade será calculado na forma da lei.","O adicional de insalubridade será calculado na forma da lei. GúUSULA DÉcIMA sExTA. MÉDIco SUBSTITUTO Em caso de substituiÇão por motivo de férias e afastamentos a partir de 30 (trinta) dias, mesmo em função de cargo de confiança, o substituto fará jus ao recebtmento da mêsma remuneração do cargo do substituído, a partir do ""1"" dia da substituição e enquanto durar a mesma."
"SINDICATO DOS MÉDICOS DO ESTADO DA BAHTA - SINDIMED","2025-2026","CLÁUSULA DÉCIMA SÉTIMA - REGIMENTO INTERNO DOS HOSPITAIS","Sempre que solicitado pelo SINDIMED, as entidades patronais representadas pelo SINDIFIBA, fornecerão cópia do seu rêgimento interno.","Sempre que solicitado pelo SINDIMED, as entidades patronais representadas pelo SINDIFIBA, fornecerão cópia do seu rêgimento interno."
"SINDICATO DOS MÉDICOS DO ESTADO DA BAHTA - SINDIMED","2025-2026","CLÁUSULA DÉCIMA OITAVA - ACESSO DE DIRIGENTE SINDICAL A EMPRESA","Assegura-se o acesso dos dirigentes sindicais, preferêncialmente nos intervalos destinados a alimentação e descanso, para o desempenho de suas funções, vedâda a divulgaçáo de matéria político-partidária ou ofensiva.","Assegura-se o acesso dos dirigentes sindicais, preferêncialmente nos intervalos destinados a alimentação e descanso, para o desempenho de suas funções, vedâda a divulgaçáo de matéria político-partidária ou ofensiva."
"SINDICATO DOS MÉDICOS DO ESTADO DA BAHTA - SINDIMED","2025-2026","CLÁUSULA DÉCIMA - NONA. COMPROVANTE DE PAGAMENTO","Os comprovantes de pagamento ou contracheques dêverão ser fornecidos e/ou disponibilizados pelas entidades empregadoras diretamente aos seus empregado...","Os comprovantes de pagamento ou contracheques dêverão ser fornecidos e/ou disponibilizados pelas entidades empregadoras diretamente aos seus empregados sem ônus para estes, podendo a disponibilização ocorrer por meios eletrônicls, sendo os documentos emitidos de maneira que neles estejam discriminadas todas as parcelas pagas, refletindo o espelho de todos os créditos e descontos mensais, inclusive o valor correspondente ao recolhimento do FGTS. PARÁGRAFo ÚNtco - Em caso de necessidade da segunda via o empregado poderá solicitar diretamente a empresa."
"SINDICATO DOS MÉDICOS DO ESTADO DA BAHTA - SINDIMED","2025-2026","CLÁUSULA VIGÉSIMA - ADICIONAIS E VANTAGENS","Os adicionais e vantagens pessoais, que os empregados tenham direito dentro do mês trabalhado, poderáo ser pagos no mês subsequente, desde que devidamente atualizados.","Os adicionais e vantagens pessoais, que os empregados tenham direito dentro do mês trabalhado, poderáo ser pagos no mês subsequente, desde que devidamente atualizados."
"SINDICATO DOS MÉDICOS DO ESTADO DA BAHTA - SINDIMED","2025-2026","CLÁUSULA VIGÉSIMA PRIMEIRA - ESTABILIDADE OA GESTANTE","A médica gestante é garantida a estabilidade no emprego, desde o inÍcio da gestação devidamente comprovada até 60(sessenta) dias após o término da estabilidade constitucional.","A médica gestante é garantida a estabilidade no emprego, desde o inÍcio da gestação devidamente comprovada até 60(sessenta) dias após o término da estabilidade constitucional."
"SINDICATO DOS MÉDICOS DO ESTADO DA BAHTA - SINDIMED","2025-2026","CLÁUSULA VIGÉSIMA SEGUNDA - CONDIÇÕES DE TRABALHO","As entidades empregadoras Íomecerão acomodaçôes dignas e todos os instrumentos de trabalho do médico, alem da segurança e higiene no local de trabalho, mnforme artigo 71 da CLT.","As entidades empregadoras Íomecerão acomodaçôes dignas e todos os instrumentos de trabalho do médico, alem da segurança e higiene no local de trabalho, mnforme artigo 71 da CLT."
"SINDICATO DOS MÉDICOS DO ESTADO DA BAHTA - SINDIMED","2025-2026","CLÁUSULA VTCÉSTMA TERCEIRA - CONTRIBUIÇÃO NEGOCIAL","Será descontada de todos os empregados em favor da sua entidade sindical, a título de Taxa Assistencial prevista na ConstituiÇão Federal, art.","Será descontada de todos os empregados em favor da sua entidade sindical, a título de Taxa Assistencial prevista na ConstituiÇão Federal, art. 8', inc. lV para manutenção das atividades sindicais no percentual de 2% (dois por cento) no mês de agosto/2025, para associados ou não, incidêntes sobre o salário base dos empregados já reajustados na forma da cláusula terceira desta Convenção Coletiva, valores estes que foram deÍinidos em Assembleia Geral da categoria, podendo qualquer deles oferecer oposição ao referido desconto no período de O1 a 11 de agosto de 2025, através de oflcio dirigido ao sindicato proflssional. PARÁGRAFo PRIMEIRo - Ficam as entidades empregadoras obrigadas a repassar para a direçâo da referida entidade sindical profissional os valores descontados a serem depositados na conta corrente do BANCO DO BRASIL S/A n"" 807.249-3, agência 2799-5, acompanhada da lista como nome dos médicos ate o 10"" dia útil do mês subsequente aos descontos. PARÁGRAFO SEGUNDO - O sindicato patronal fica obrigado a fornecer ao SINDIMED a rêlação das entidades empregadoras representadas pelo SINDIFIBA que ficam obrigadas a cumprir o desconto e repasse da taxa assistencial do SINDIMED. A relação será entregue ao SINDIMED no prazo máximo de 15 de agosto de 2025.,/- o/ vr PARÁGRAFO TERGEIRO - Fica vedado as entidades empregadoras a realização de quaisquer manifestações, atos, campanhas ou condutas similares no sentido de incentivar ou instigar os trabalhadores não flliados ao Sindicato apresentarem o seu direito de oposiÉo por escrito. PARÁGRAFO QUARTO - Fica vedado ao Sindicato e seus dirigentes a realização de quaisquer manifestações, atos e condutas similares no sentido de constranger os trabalhadores não filiados ao sindicato proÍissional apresentarem o seu direito de oposição por escrito. PARÁGRAFO QUINTO - O trabalhador que não exercer o direito de oposiÉo na forma e no prazo prêvistos no caput, não terá direito ao respectivo reembolso da presente contribuição negocial. PARÁGRAFO SEXTO - Caso haja ação judicial com decisão Íinal que implique obrigação de devolver os valores descontados dos empregados, o Sindicato proÍissional, beneficiário dos repasses, assume a obrigação de restituição diretamente aos empregados, dos valores que lhe foram atribuÍdos, sendo que, caso o ônus recaia sobre as entidades empregadoras, ela poderá cobrar do Sindicato ou promover a compensação com outros valores que devam a ele ser repassados, inclusive relativos as contribuiçóes associativas, devendo a entidade empregadora notiÍicar o Sindicato acerca da ação, com o referido objeto eventualmente ajuizado, para intervir na relação processual caso tenha interesse."
"SINDICATO DOS MÉDICOS DO ESTADO DA BAHTA - SINDIMED","2025-2026","CLÁUSULA VIGÉSIR'II QUARTA - EXAME MÉDICO","As entidades empregadoras fornecerão aos empregados cópias dos resultados dos exames admissional, periódico e demissional.","As entidades empregadoras fornecerão aos empregados cópias dos resultados dos exames admissional, periódico e demissional. PARÁGRAFO ÚHtCo - Ficam obrigados os empregados a comparecer a Medicina do Trabalho sempre que convocados. Fícando o SINDIMED responsável em realizar um trabalho de conscientização iunto a categoria."
"SINDICATO DOS MÉDICOS DO ESTADO DA BAHTA - SINDIMED","2025-2026","CLÁUSULA VIGÉSIMA QUINTA - ABONO PARA ATUALIZAÇÃO PROFISSIONAL","O médico poderá utilizar 05 (cinco) dias útêis ao ano, alternados ou contínuos, para participação em congressos, reunióes, simpósios, encontros e outr...","O médico poderá utilizar 05 (cinco) dias útêis ao ano, alternados ou contínuos, para participação em congressos, reunióes, simpósios, encontros e outras promoçôes que tenham por objetivo assuntos relacionados a atividade profissional do empregado e do empregador, desde que prêviamente avisando, com antecedência mínima de 30 (trinta) dias, e acordando com as entidades empregadoras, apresenlando posteriormente comprovante da participação no evento."
"SINDICATO DOS MÉDICOS DO ESTADO DA BAHTA - SINDIMED","2025-2026","CLÁUSULA VIGÉSIMA SEXTA - QUADRO DE AVISOS","As entidades empregadoras permitirão a colocaÉo de comunicado para empregados em seu quadro de avisos, desde que previamente encaminhado a direção das...","As entidades empregadoras permitirão a colocaÉo de comunicado para empregados em seu quadro de avisos, desde que previamente encaminhado a direção das empresas PARÁGRAFO ÚtttCo - os avisos terão como finalidade a divulgação de assuntos de interesse da categoria dos trabalhadores, desde que não sejam atentatórros e não venham a detratar a imagem ou reputação da lnstituição ou pessoas."
"SINDICATO DOS MÉDICOS DO ESTADO DA BAHTA - SINDIMED","2025-2026","CLÁUSULA VRGÉSRUA SÉLUL - MEDRAÇÃO DE CONFLRROS","O SINDIFIBA e o SINDIMED comprometem-se a acompanhar e mediar qualquer conflito divergente a esta convengão, ou não, entre os empregados medicos e as lnstituições associadas ao SINDIFIBA.","O SINDIFIBA e o SINDIMED comprometem-se a acompanhar e mediar qualquer conflito divergente a esta convengão, ou não, entre os empregados medicos e as lnstituições associadas ao SINDIFIBA."
"SINDICATO DOS MÉDICOS DO ESTADO DA BAHTA - SINDIMED","2025-2026","CLÁUSULA VIGÉSIUA OITAVA - PORTADORES OE DEFICIÊNCIA","Os hospitais ficam obrigados a preencher o seu quadro de empregados com médicos portadores de deÍiciência, conforme a lei.","Os hospitais ficam obrigados a preencher o seu quadro de empregados com médicos portadores de deÍiciência, conforme a lei. PARÁGRAFO PRIMEIRO - Quando o hospital comprovar que houve a tentativa de recrutamento e não logrou êxito, Íica autorizado a contratar proÍissionais médicos não portadores de deficiência. PARÁGRAFO SEGUNDO - Ficã estabelecido uma parcêria entre as entidades sindicais, na qual os hospitais filiados ao SINDIFIBA, informaráo a grade com o quantitativo de vagas de médicos em aberto, Ílcando o SINDIMED responsável pela divulgação em seus canais de divulgação das vagas disponibilizadas."
